Index,Tag,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries
1569,Lion: 8531,IR-SAT Tag,72,3/2/2025 16:15,Every 2 hours,-3.615575°,38.115368°,(-),10 meters,0 km/h,3.69 Volt,27°C,(-),Y,"[-586,2373,15500]",N,0,Y,0
1570,Lion: 8530,IR-SAT Tag,72,3/2/2025 16:30,Every 2 hours,-3.515592°,38.088993°,(-),10 meters,0 km/h,3.65 Volt,31°C,(-),Y,"[14702,-640,-7375]",N,0,Y,0
1571,Lion: 8529,IR-SAT Tag,72,3/2/2025 16:36,Every 2 hours,-3.516543°,38.267640°,(-),10 meters,0 km/h,3.63 Volt,24°C,(-),Y,"[-8412,5406,12694]",N,0,Y,0
1572,Lion: 8528,IR-SAT Tag,72,3/2/2025 17:00,Every 2 hours,-3.660940°,38.249007°,(-),10 meters,0 km/h,3.69 Volt,29°C,(-),Y,"[4455,-6185,13471]",N,0,Y,0
1573,Lion: 8531,IR-SAT Tag,72,3/2/2025 18:16,Every 2 hours,-3.616648°,38.115878°,(-),<10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[4636,-6827,13584]",N,0,N,2
1574,Lion: 8530,IR-SAT Tag,72,3/2/2025 18:30,Every 2 hours,-3.515513°,38.088788°,(-),10 meters,0 km/h,3.64 Volt,31°C,(-),Y,"[-12703,-2465,-8542]",N,0,Y,0
1575,Lion: 8529,IR-SAT Tag,72,3/2/2025 18:37,Every 2 hours,-3.516455°,38.267580°,(-),10 meters,0 km/h,3.64 Volt,22°C,(-),Y,"[9354,-3378,12392]",N,0,Y,0
1576,Lion: 8528,IR-SAT Tag,72,3/2/2025 19:00,Every 2 hours,-3.661053°,38.249070°,(-),<10 meters,0 km/h,3.69 Volt,29°C,(-),Y,"[6427,-5591,12895]",N,0,N,4
1577,Lion: 8531,IR-SAT Tag,72,3/2/2025 20:16,Every 2 hours,-3.616835°,38.114253°,(-),10 meters,4 km/h,3.69 Volt,29°C,(-),Y,"[3685,-3114,10770]",N,0,N,2
1578,Lion: 8530,IR-SAT Tag,72,3/2/2025 20:31,Every 2 hours,-3.515442°,38.088717°,(-),10 meters,0 km/h,3.64 Volt,30°C,(-),Y,"[-9509,-3448,11789]",N,0,Y,0
